BookingID,FlightID,PassengerID,Status,BookingDate,SeatNumber,SeatClass,PaymentID,CreatedDateTime,LastupdateDateTime
B001,F101,P20,Complete,9/22/2025,1A,First,PYMT01,9/22/2025 7:00,9/22/2025 7:00
B002,F101,P23,Complete,9/22/2025,1D,First,PYMT02,9/22/2025 7:00,9/22/2025 7:00
B003,F101,P24,Complete,9/22/2025,20C,Economy,PYMT03,9/22/2025 7:00,9/22/2025 7:00
B004,F103,P25,Complete,9/23/2025,11D,Economy,PYMT04,9/23/2025 7:00,9/23/2025 7:00
B005,F103,P28,Complete,9/23/2025,30A,Economy,PYMT05,9/23/2025 7:00,9/23/2025 7:00
B006,F103,P30,Complete,9/23/2025,12A,Economy,PYMT06,9/23/2025 7:00,9/23/2025 7:00
B007,F103,P31,Complete,9/23/2025,13A,Economy,PYMT07,9/23/2025 7:00,9/23/2025 7:00
B008,F105,P32,Complete,8/22/2025,14C,Economy,PYMT08,8/22/2025 7:00,8/22/2025 7:00
B009,F105,P33,Complete,8/22/2025,15B,Economy,PYMT09,8/22/2025 7:00,8/22/2025 7:00
B010,F105,P29,Complete,8/22/2025,20A,Economy,PYMT10,8/22/2025 7:00,8/22/2025 7:00
B011,F105,P20,Complete,8/22/2025,1A,First,PYMT11,8/22/2025 7:00,8/22/2025 7:00
B012,F105,P23,Complete,8/22/2025,1D,First,PYMT12,8/22/2025 7:00,8/22/2025 7:00
B013,F105,P27,Complete,8/22/2025,1C,First,PYMT13,8/22/2025 7:00,8/22/2025 7:00
B014,F107,P20,Complete,8/23/2025,1A,First,PYMT14,8/23/2025 7:00,8/23/2025 7:00
B015,F107,P23,Complete,8/23/2025,1D,First,PYMT15,8/23/2025 7:00,8/23/2025 7:00
B016,F102,P20,Complete,9/22/2025,1A,First,PYMT16,9/22/2025 7:00,9/22/2025 7:00
B017,F102,P23,Complete,9/22/2025,1D,First,PYMT17,9/22/2025 7:00,9/22/2025 7:00
B018,F102,P24,Complete,9/22/2025,20C,Economy,PYMT18,9/22/2025 7:00,9/22/2025 7:00
B019,F104,P25,Complete,9/23/2025,11D,Economy,PYMT19,9/23/2025 7:00,9/23/2025 7:00
B020,F104,P28,Complete,9/23/2025,30A,Economy,PYMT20,9/23/2025 7:00,9/23/2025 7:00
B021,F104,P33,Complete,9/23/2025,12A,Economy,PYMT21,9/23/2025 7:00,9/23/2025 7:00
B022,F104,P31,Complete,9/23/2025,13A,Economy,PYMT22,9/23/2025 7:00,9/23/2025 7:00
B023,F106,P32,Complete,8/22/2025,14C,Economy,PYMT23,8/22/2025 7:00,8/22/2025 7:00
B024,F106,P33,Complete,8/22/2025,15B,Economy,PYMT24,8/22/2025 7:00,8/22/2025 7:00
B025,F106,P29,Complete,8/22/2025,20A,Economy,PYMT25,8/22/2025 7:00,8/22/2025 7:00
B026,F106,P20,Complete,8/22/2025,1A,First,PYMT26,8/22/2025 7:00,8/22/2025 7:00
B027,F106,P23,Complete,8/22/2025,1D,First,PYMT27,8/22/2025 7:00,8/22/2025 7:00
B028,F106,P27,Complete,8/22/2025,1C,First,PYMT28,8/22/2025 7:00,8/22/2025 7:00
B029,F108,P20,Complete,8/23/2025,1A,First,PYMT29,8/23/2025 7:00,8/23/2025 7:00
B030,F108,P23,Complete,8/23/2025,1D,First,PYMT30,8/23/2025 7:00,8/23/2025 7:00
